17:40:07.055	127.0.0.1:57828	admin	OK	EXEC[0]	2.62 ms
17:40:07.059	127.0.0.1:57828	admin	OK	EXEC[0]	2.67 ms
17:40:07.063	127.0.0.1:57828	admin	OK	EXEC[0]	2.7 ms
17:40:07.067	127.0.0.1:57828	admin	OK	EXEC[0]	2.58 ms
17:40:07.070	127.0.0.1:57828	admin	OK	EXEC[0]	2.19 ms
17:40:07.075	127.0.0.1:57828	admin	OK	EXEC[0]	4.49 ms
17:40:07.078	127.0.0.1:57828	admin	OK	EXEC[0]	2.83 ms
17:40:07.081	127.0.0.1:57828	admin	OK	EXEC[0]	2.37 ms
17:40:07.084	127.0.0.1:57828	admin	OK	EXEC[0]	2.68 ms
17:40:07.088	127.0.0.1:57828	admin	OK	EXEC[0]	2.55 ms
17:40:07.090	127.0.0.1:57828	admin	OK	EXEC[0]	2.06 ms
17:40:07.093	127.0.0.1:57828	admin	OK	EXEC[0]	2.52 ms
17:40:07.096	127.0.0.1:57828	admin	OK	EXEC[0]	2.29 ms
17:40:07.098	127.0.0.1:57828	admin	OK	EXEC[0]	2.21 ms
17:40:07.101	127.0.0.1:57828	admin	OK	EXEC[0]	2.26 ms
17:40:07.104	127.0.0.1:57828	admin	OK	EXEC[0]	2.16 ms
17:40:07.106	127.0.0.1:57828	admin	OK	EXEC[0]	2.4 ms
17:40:07.109	127.0.0.1:57828	admin	OK	EXEC[0]	2.22 ms
17:40:07.111	127.0.0.1:57828	admin	OK	EXEC[0]	2.03 ms
17:40:07.114	127.0.0.1:57828	admin	OK	EXEC[0]	2.07 ms
17:40:07.116	127.0.0.1:57828	admin	OK	EXEC[0]	2.12 ms
17:40:07.119	127.0.0.1:57828	admin	OK	EXEC[0]	2.16 ms
17:40:07.121	127.0.0.1:57828	admin	OK	EXEC[0]	1.99 ms
17:40:07.123	127.0.0.1:57828	admin	OK	EXEC[0]	2.05 ms
17:40:07.126	127.0.0.1:57828	admin	OK	EXEC[0]	2.01 ms
